tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,Dengue
40.1,26.1,32.9,44.8,26.1,35.2,19.7,50,0
41.2,20.4,33.3,43.1,20.4,35,18.8,47.8,0
37.2,25.9,32.1,46.8,25.9,36.3,22.4,58.7,0
37.2,24.6,30.7,41,24.6,33.8,23.1,67.8,1
38.6,25.2,31.5,41.5,25.2,35.1,22.4,61.8,1
37.6,25.1,30.4,42.1,25.1,33.9,23,68,1
36.9,25.4,30.4,44.2,25.4,34.2,23.4,68.9,1
37.5,24.2,30.7,42.4,24.2,34.4,23.6,69.6,0
33.2,24.3,29,38.3,24.3,32.9,24.3,77.1,1
35.7,24,29.8,40.4,24,33.4,23.3,70.9,0
35.9,25.2,29.9,39.9,25.2,33.1,23,69.1,0
36,24.2,29.8,39.5,24.2,32.7,22.9,69.1,1
35.7,24.9,29.4,38.8,24.9,31.9,22.6,69.9,1
32.4,22.2,27.4,35.7,22.2,29.1,22.7,77.3,1
32,22.1,27.5,36.3,22.1,29.7,23,77.7,0
31.3,22.7,26.5,34.6,22.7,27.7,22.8,81.8,1
31.7,22.7,26.9,35.8,22.7,28.2,22.6,79.3,0
32.5,23.4,27.7,39.4,23.4,30.1,23.2,78,0
33.2,23.9,28.5,37.7,23.9,31.2,23.3,75.2,1
33.9,24.9,29.3,39.4,24.9,32.4,23.4,72.3,0
33.8,23.8,28.7,38.9,23.8,31.8,23.6,75.4,0
34.9,23.1,29.8,43.1,23.1,33.9,23.9,72.3,1
35.6,25.4,30.5,44.5,25.4,35.6,24.3,70.8,1
30.9,25.1,27.2,36.9,25.1,29.3,24.3,85.1,0
30.4,23.4,26.6,36.3,23.4,28.2,24,85.9,1
29.4,24,26.3,36.7,24,27.9,24.3,89.2,0
32.2,24.1,28.2,39.4,24.1,31.5,24.1,79.8,0
34,25.7,28.8,44.7,25.7,32.4,24.6,78.7,0
32,25,27.8,36.3,25,30,23.9,80.4,0
31.3,25,27.6,38.7,25,29.8,23.8,81,1
32.1,24.8,27.7,39.6,24.8,30.4,24,80.9,1
31.8,24.1,27.2,37.6,24.1,29.5,24.2,84.4,0
30.3,24.1,26.9,39.3,24.1,29.1,23.8,83.9,0
31.8,24.4,27.6,40.6,24.4,30.3,23.9,80.8,1
33.8,24.8,28.4,44.2,24.8,31.8,24.4,80.3,0
31.5,24.6,27.7,38.1,24.6,30.7,24.7,84.2,1
33.2,24.7,28.7,41.3,24.7,31.6,23.6,76.2,0
34.3,25.2,29.1,42.9,25.2,32.4,23.9,74.9,0
32.7,23.4,28.3,40.5,23.4,31.6,24.1,79.5,1
32,25.2,27.9,39.7,25.2,30.5,24.8,84.4,0
31.5,24.8,27.4,38.5,24.8,30.2,24.8,86.7,0
31.8,24.3,27.6,38.9,24.3,30.6,25.1,86.9,0
32.6,24.7,28.1,43.1,24.7,32.1,25.1,84.7,1
32,24.9,27.8,40.3,24.9,30.9,24.4,82.6,1
29.1,25.3,26.8,34.5,25.3,28.6,24.6,87.7,0
29.3,24.3,26.2,36.4,24.3,27.5,24.1,88.9,1
28.6,24.1,26.1,33.6,24.1,27.7,24.3,89.8,0
27.5,23.2,25,31.2,23.2,25.6,23.8,92.9,0
30.5,23.7,26.8,36.1,23.7,29.1,23.9,84.6,0
31.6,23.4,27.1,38.7,23.4,29.6,23.8,82.9,1
32,23.2,27.1,38,23.2,29,23.4,81.9,0
33.1,24.7,27.8,38.4,24.7,30.4,23.8,79.8,0
30.1,24,25.8,35.7,24,26.5,23.8,89.4,0
33.6,24,27.9,38.8,24,30.1,22.9,75.8,0
33.3,24.3,28.4,43.2,24.3,31.7,23.8,77.4,1
34.3,25.1,28.9,47.9,25.1,33.5,24.9,79.6,1
30.9,25.2,27.8,37.6,25.2,31.3,24.9,84.7,1
33.6,24.3,27.6,42,24.3,30.7,24.8,85.6,1
31.8,25.1,28.1,40.2,25.1,31.9,25.1,84.3,0
30.9,23.4,27.2,37.3,23.4,29.7,24.6,86.6,0
33.6,24.2,27.7,39.6,24.2,30.3,24.2,82.5,1
34.8,24.4,28.1,44.9,24.4,31.7,24.6,82.1,0
30.7,24,27.3,36.9,24,30,24.7,86.3,1
31.8,24.1,27.3,38.8,24.1,30,24.6,85.7,0
31.6,24.1,27.1,39.6,24.1,29.9,24.9,88.2,0
32.1,24.4,28.1,40.3,24.4,30.9,24.1,80.2,1
33,24.2,27.8,43.1,24.2,30.9,24.1,81.1,1
32.8,24.3,27.6,42.4,24.3,30.3,24,81.4,1
32.1,24.5,28,41.8,24.5,31.4,24.3,80.9,1
31.5,24.2,27.8,38.9,24.2,30.8,24.2,81.7,1
31.3,23.1,26.4,38,23.1,28.2,24,87.1,1
31.6,23.8,26.8,38.2,23.8,28.8,23.9,84.9,0
30.4,23.2,26.6,35.3,23.2,28.5,23.4,83.4,1
31.8,22.3,26.8,39.2,22.3,28.3,21.7,74.9,1
31.4,21.3,25.8,34.2,21.3,27,20.9,75.3,0
30.1,21.6,25.3,34.5,21.6,26.2,21.5,80.8,1
31,21.7,26.2,35.1,21.7,27.4,21.5,76.4,1
30.1,23.2,26.4,34.7,23.2,27.7,22,77.9,1
29.6,20.3,25.2,32.9,20.3,26.1,21.9,83,0
30.3,21.4,25.2,33.6,21.4,26.1,21.9,83,1
30.8,21.4,25.6,35.1,21.4,26.7,22.2,82.6,0
30.3,22.4,25.7,36,22.4,27,22.6,83.7,1
29,21.9,25,33.1,21.9,25.5,22.1,85,0
30.1,21.7,24.9,34.8,21.7,25.8,21.8,84.2,1
28.5,21.4,24.3,30.2,21.4,24.7,20.9,82.6,1
27,20.2,23.2,28.9,20.2,23.3,20.5,85.3,1
26.6,20.4,22.8,26.6,20.4,22.8,20.8,89.1,0
28.6,19.5,23.5,31.1,19.5,24,20.8,85.5,1
29.6,20.2,23.9,32.9,20.2,24.5,20.8,83.8,0
29.6,19.9,23.6,33.3,19.9,24,20.2,82.6,1
28.6,19.4,23.6,30.5,19.4,24,19.4,78.6,1
31,19,23.2,33.2,19,23.5,17.3,71.3,1
30.6,19.2,23.5,34.7,19.2,24,17.7,71.5,0
28.6,19.3,23.1,29.5,19.3,23.3,18.2,75.3,0
30,18.7,23.1,32.2,18.7,23.5,17,70,0
30,18.6,23,32.8,18.6,23.2,17.1,71.3,0
29.8,17.1,22.2,31.2,17.1,22.3,16.1,70.5,1
30,16.8,22.2,31.4,16.8,22.3,16.2,70.9,0
29.8,17.4,22.7,31.6,17.4,23,17,72.6,0
29.3,17.8,22.9,31.4,17.8,23.1,17.1,71.8,0
30,17.9,23.2,32,17.9,23.4,16.8,69.5,0
31.3,17.6,22.9,32,17.6,23,15.2,64.6,0
30.1,17.7,22.9,31,17.7,23,15.2,64.1,0
30.8,16.1,22.7,30.1,16.1,22.8,15.3,65.1,0
31,17.1,22.7,32.3,17.1,22.7,14.2,61.3,0
30,16.4,22,31.4,16.4,21.8,12.6,59,0
29.1,15.7,21.3,29.5,15.7,21.2,11.5,56.8,0
30,14.9,21.1,30.5,14.9,21,10.8,54.5,1
28.8,15.2,21.5,29.7,15.2,21.4,11.8,57.3,1
27.8,16.1,21,28.3,16.1,21,12.3,60,0
26.6,16.1,20.7,26.6,16.1,20.7,13.7,66.3,0
26.3,15.9,20.6,26.3,15.9,20.6,14.3,69,1
28,15.2,20.8,29,15.2,20.9,13.6,66,0
28,16.1,21.3,28.7,16.1,21.3,13.8,64.8,0
27.6,17.4,20.9,28.6,17.4,21,14,66.5,0
27.9,16.2,21.1,29.6,16.2,21.1,14,66.5,0
32.1,24.2,27.6,40.8,24.2,30.5,25.6,89.5,0
35.1,23.2,28.2,42,23.2,31.2,24.8,84.1,1
33.1,23.7,27.9,40.7,23.7,30.6,25.1,86.6,0
33.1,24.9,27.7,38.2,24.9,30.2,24.9,86.1,1
31.1,24.2,27,37.9,24.2,29.2,25.3,90.9,1
29.1,23.7,25.9,35.8,23.7,27.8,24.7,93.4,0
30.1,22.2,26.1,36.3,22.2,27.8,24.4,91.1,1
27.8,21.7,25.3,32.7,21.7,26,24.5,95.4,0
27.6,22.1,25,32,22.1,25.4,24.5,96.8,0
28.5,21.9,25.1,33.8,21.9,25.7,24.4,96,0
26.6,21.2,25,26.6,21.2,25,24.4,96.7,0
28.1,21.4,25.5,33,21.4,26.5,24.6,95.1,0
27.1,24.8,25.6,30.7,24.8,26,24.8,95.3,1
25.7,23.7,24.6,25.7,23.7,24.6,24.1,97.3,0
30.4,24.1,25.9,37.1,24.1,27.1,24.7,93.2,0
33.1,24.4,27.6,40.7,24.4,30,24.5,85.1,0
33.1,24.9,28.1,40.8,24.9,31.5,25.3,86.3,0
33.1,25.2,27.9,42.3,25.2,31.3,26.1,90.4,1
31.6,22.9,26.9,39,22.9,29.4,25.2,91.1,0
33.1,22.4,27.4,39.4,22.4,29.6,24.8,87.6,0
33.1,25,27.6,39.4,25,29.6,24.7,86.1,0
32.1,23.4,26.8,39.3,23.4,28.7,24.3,87.5,1
33.1,23.7,26.7,39.4,23.7,28.4,24.3,88.5,1
31.1,24,26.6,36.7,24,28.4,24.3,88.2,0
32.1,22.9,26.5,38,22.9,28.5,24.4,89.5,1
32.1,24.2,26.4,36.9,24.2,27.8,24.2,88.7,0
31.1,23.7,26.5,37.9,23.7,28.6,24.7,90.5,1
31.2,24,26.3,36.7,24,27.9,24.3,89.8,1
31.1,22.9,26.2,35.6,22.9,27.9,23.9,88.6,0
31.1,21.9,25.6,36.7,21.9,26.7,24,91.9,1
29.2,22.2,25.6,34.7,22.2,26.9,24,91.5,0
32.1,23.1,26.2,38,23.1,27.8,23.9,88.4,0
33.1,23.4,27.2,40.7,23.4,29.9,24.8,88,0
32.1,24.4,27.6,40.8,24.4,31.7,25.7,90.3,0
34.1,25.4,28.9,45.5,25.4,34.3,26.2,86.5,0
32.1,24.7,28.3,42.2,24.7,33,26.3,89.3,0
32.1,23.8,26.5,40.8,23.8,28.5,24.6,90,1
29.1,23.2,25.2,34.7,23.2,26.2,24,93.3,1
31.1,23.4,26.7,36.7,23.4,28.8,24.3,87.9,0
31.1,23.9,27,37.8,23.9,29.3,25,89.3,1
34.1,24.7,28.3,44,24.7,33,25.9,88.1,0
35.1,25.1,27.6,43.7,25.1,30.3,25.5,89.4,1
28.1,22.1,24.9,32.1,22.1,25.8,23.9,94.2,1
29.1,21.4,25.8,35.8,21.4,27.3,24.6,93.3,1
29.6,22.2,26,35,22.2,27.5,24.6,92.4,0
30.1,23.1,26.2,35.2,23.1,27.9,24.2,89.7,1
32.1,22.5,26,36.9,22.5,27.5,23.6,87.7,0
31.1,23,26.4,36.4,23,28.2,24,87.6,1
31.7,23.7,27,36.7,23.7,29.1,24.3,86.5,1
32.1,23.9,27.7,38.2,23.9,31,25.3,88.2,0
32.1,24.2,27.7,39.3,24.2,30.7,25.6,89.3,1
31.2,23.8,26.9,36.3,23.8,28.9,24.5,87.5,0
31.1,24.2,27,37.3,24.2,29.4,24.9,89.2,1
32.1,24.8,27.5,39.3,24.8,30.2,25.2,87.9,1
32.1,24.8,27.6,40.8,24.8,30.5,25.2,87.8,0
30.8,24.7,26.7,35.4,24.7,28.8,25.1,91.9,0
33.1,23.7,27.9,40.7,23.7,31.5,25.4,87.3,1
31.1,25.4,27.5,37.9,25.4,30.4,25.4,89,0
32.1,25.4,27.7,40.8,25.4,30.8,25.7,89.9,0
32.1,24.9,27.9,41.8,24.9,32,25.9,89.8,0
32.1,23.4,27.5,40.8,23.4,31,25.3,88.7,0
32.1,24.1,27.7,39.3,24.1,30.8,25.5,88.2,1
31.1,23.1,27.5,39.3,23.1,30.6,25.4,89.3,0
31.1,23.2,26.8,37.9,23.2,28.9,25,90.7,0
32.1,24.4,26.9,39.3,24.4,29.4,25,90.1,0
31.1,22.4,26.1,36.7,22.4,27.7,24.4,91.4,0
30.1,21.7,25.8,35,21.7,27.4,24.2,91.4,0
32.1,22.7,26.5,38,22.7,28.1,24.4,89.7,0
31.1,22.1,26.3,37.9,22.1,28.2,24.8,91.9,0
30.1,22.2,25.8,34.3,22.2,27.1,23.7,89.5,0
28.1,20.2,24.8,31.4,20.2,25.2,23.4,92.6,0
31.1,22.7,26.1,35.6,22.7,27.6,23.6,87.5,0
31.1,22.2,26.9,36.7,22.2,29,24.5,87.6,0
31.1,23.4,26.5,36.3,23.4,28.3,24.7,90.5,0
32.1,23.1,27.8,38,23.1,30.6,24.2,81.9,0
34.4,24.6,28.9,41.1,24.6,32.4,23.9,75.9,0
33.1,25.2,28.2,39.4,25.2,31.3,24.6,82,0
31.1,22.2,27.1,37.9,22.2,29.5,24.1,84.1,0
31.4,24.7,27.8,37.9,24.7,30.1,23.4,77.7,0
31.5,23.3,26.9,37.9,23.3,29.1,24.4,87.1,1
28.1,20.7,24.7,32.4,20.7,25,23.3,91.9,1
28.1,20.4,24.3,31.7,20.4,24.5,23.1,93,0
29.1,22.4,25.2,32.9,22.4,26,22.8,87.6,1
31.1,21.6,25.6,35.6,21.6,26.9,22.7,85.6,1
30.1,22.8,25.7,36.3,22.8,27.1,23.3,87.1,1
29.1,23.7,25.6,32.9,23.7,26.6,23.3,87.9,0
29.1,23.1,25.4,32.1,23.1,26.1,22.9,86.9,0
27.1,20.4,24,29.7,20.4,24.2,22.5,91.8,0
30.1,21.4,25.1,33.4,21.4,26.1,22.1,84.7,0
31.1,21.8,25.5,34.7,21.8,26.7,23.1,87.8,1
30.1,22.9,25.8,34.3,22.9,27.1,23.2,86.1,1
30.1,23.8,26.5,34.3,23.8,27.9,23.1,82.1,1
31.1,22.7,26,36.7,22.7,27.4,22.9,83.6,0
30.1,23.4,26.1,35.2,23.4,27.3,22.9,83.4,1
28.1,20.7,24.7,32.1,20.7,25.2,22.7,89,1
31.1,22.9,25.6,34.7,22.9,26.6,22.2,82.3,0
26.1,21.9,23.4,26.1,21.9,23.4,22.4,94.5,0
28.4,20.9,24.3,31.8,20.9,24.9,22.5,90.3,0
30.1,21.1,25.1,34.3,21.1,26.2,22.4,86.2,0
31.1,21.9,26,36.7,21.9,27.7,23.1,85.5,1
29.1,22.8,25,33.7,22.8,26,23.1,89.7,0
32.3,21.8,25.5,38.1,21.8,27,22.8,86,1
31.1,22.3,26,35.6,22.3,27.6,22.7,82.8,0
31.5,22.6,26.7,36.7,22.6,28.6,23.4,83.2,0
30.1,23.4,26.8,35.2,23.4,28.4,23.4,82.4,0
31.1,22.6,26.5,35.2,22.6,28.1,22.9,81.4,0
30.1,22.3,25.5,34.3,22.3,26.8,22.5,84.6,0
28.5,22.1,24.6,31.6,22.1,25,22.4,88,0
29.1,23.4,25.6,32.9,23.4,26.8,22.9,85.3,1
27.1,22.7,24.5,29.3,22.7,24.7,22.8,90.7,0
29.8,21.1,24.9,33.3,21.1,25.8,22.6,88,1
28.1,22.5,24.8,31.5,22.5,25.4,22.8,88.4,0
29.1,22.3,24.9,32.9,22.3,25.8,22.3,85.9,0
29.1,21.4,24.9,33.7,21.4,26.1,22.5,87.2,0
31.1,21.9,25.3,34.3,21.9,26.2,21.8,82.6,1
31.1,21.1,25,33.1,21.1,25.8,20.3,76.3,1
37.6,29,33.3,46.3,33.9,39.5,23.9,59.7,1
37.1,25.6,31.3,48.1,25.6,38.5,25.6,73.6,1
37.5,28,31.9,42.9,33.6,38.5,24.8,67.2,0
41,29,33.1,47.6,34.6,40.2,24.7,62.5,0
37.6,25.4,32.6,47.1,25.4,39.9,25.3,67,0
29,25,27.2,38.2,25,31.4,26.6,96.2,0
34,25,27.8,43.2,25,31.8,26.1,91.3,1
34,26,28.9,43.9,26,35.1,26.7,89.5,0
30,26,27.3,38.2,26,31.7,26.6,96,1
29,25,27.1,38.2,25,31.2,26.5,97,0
30.1,24,26.7,40.7,24,30.3,25.8,95.4,1
33.1,25,29.4,46.2,25,36.8,26.9,87.1,0
34,28.9,31.6,44.3,33.2,40.5,26.2,73.8,0
35.4,29,31.7,44.9,32.8,39,25,68.6,1
35,23.6,30,45.3,23.6,35.7,24.9,75.6,0
33,24,28.6,42.3,24,33.1,25.1,82.6,0
34.7,26.9,30.8,43.5,30.1,38,25.7,75.4,0
35.6,28,31.8,44.9,33.5,39.9,26,72.8,1
36.6,28.4,31.9,47.2,34.8,41.6,26.9,76.5,0
36.4,28.9,32.1,49.3,36.6,42.1,27,76.1,1
36,28,30.6,48.1,33.6,39.6,26.9,81.6,1
36.1,27.4,31.5,47,32.6,40.4,26.7,77.2,0
35,29.3,31.9,46.7,36.4,42.3,27.3,77.8,0
32.4,24,26.9,44,24,30.3,25.7,93.3,0
30.7,25,27,38.5,25,30.8,25.8,93.2,1
31,26,27.4,41.3,26,31.5,26.5,94.7,0
33,25.6,28.4,44.2,25.6,34.6,26.7,91.2,1
32,26,28.6,44.2,26,35.4,26.8,90.4,0
32.5,27,30.1,40.9,31.3,37.3,26,79.7,0
32.2,28,29.8,42.3,32.9,37.3,26.3,82.4,0
33,27,30,42,30.6,37.4,26.2,80.6,0
34.7,26.3,30.5,45,26.3,39.8,27.3,83.5,1
34.6,26.9,30.9,49.6,30.9,41.2,27.5,82.8,0
35.4,29,31.2,49.6,37.9,42.5,28.1,84.2,0
32.7,27.9,29.2,47.2,34.5,38.5,27.9,92.7,0
32.7,27,29.6,46.2,31.2,38.3,27.3,88,0
33,25,27.5,46.6,25,32,26.1,92,1
33,27,30,42.1,31.2,37,25.8,78.9,0
32,26.1,29,44.2,26.1,36.2,26.6,87,0
35,27,30.5,44.9,31.2,39.1,26.9,82.1,0
33.4,27,29.6,46.6,31.9,39.2,27.9,90.9,0
34.7,28,30.9,49.5,34.5,41.1,27.6,83.4,1
33,28.8,30,42.4,35.7,38.7,27,84.5,0
31,26,28.9,40.7,26,36,26.7,87.9,0
32.6,25.4,28.6,42,25.4,34.1,25.8,85.4,1
32.3,25,29,41.2,25,34.8,26.1,85.1,1
34,27,30.2,43.8,31.1,37.7,26.2,80,0
32.5,27,29,42.2,31.2,36.7,27,89.5,1
34,27,28.3,45.3,31.2,34.6,26.6,90.9,1
28,25,26.5,34.5,25,28.8,26,97.3,1
32,26,27.8,44.2,26,32.7,26.3,91.7,1
33.1,26,29.5,45.1,26,36.6,26.7,85.5,1
32.4,24,28.9,44.2,24,35.8,26.6,87.8,0
