tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,Dengue
33,25,29.4,44.3,25,36.6,26.7,86.2,0
34.1,27.9,31.1,46.9,34.2,41.1,27.4,81.3,1
34.6,26.4,31.1,46.7,26.4,41,27.4,81.6,0
34.6,28,31.1,48,34.5,42.3,28,84.2,0
35.1,28.1,31.3,48.6,34.7,41.2,27.3,80.8,1
35,29,31.4,49.2,36.5,42.9,28.1,83.8,1
32.1,27.7,29.9,46.2,32.7,39.8,27.8,89.1,1
35,26.9,30.9,46.7,30.8,40.1,27,80.7,1
35,28.9,31.3,47.3,36.8,41.6,27.6,82,0
34.7,28,30.8,46.9,34.2,40.3,27.2,82.2,1
35.2,26.6,30.5,49.3,26.6,40.4,27.7,85.6,0
34.6,28,29.8,46.5,32.8,38.3,27.1,86.4,1
33.6,28,30.5,44.9,34.3,39.9,27.3,84,0
33.1,27.1,30.2,43.9,31.3,39.6,27.4,85.2,0
35,28,31,47.3,34.7,41.7,27.8,83.7,0
35.9,28.9,31.1,49.2,37.3,42.4,28.1,84.7,0
33.1,25,29.2,46.2,25,37.6,27.5,90.9,1
29,25,26.9,36.8,25,30.5,26.2,96.1,1
32.6,26,28.5,43.6,26,34.5,26.4,89.3,1
33,27,29.3,43.8,31.2,36.9,26.9,87.5,0
32.6,27,28.3,43,31,34.7,26.7,91.7,1
31.3,26,28.1,40.7,26,33.3,26.3,90.3,1
27.3,24,25.8,31.8,24,27.2,24.9,95.3,0
29.2,23,24.1,34.5,23,24.3,23.5,96.5,1
31.6,24,27.6,42.4,24,32.7,25.8,90.2,0
31,24,27,44.4,24,30.1,25.5,91.7,1
28.2,24.2,25.6,33.7,24.2,26.2,24.6,94.1,0
29.2,22,25.8,35.3,22,27.1,24.7,94.3,0
31.1,24.4,27.4,39.2,24.4,30.5,25.4,89.5,0
26,24,24.6,26,24,24.6,24.3,98.2,0
25,23,23.9,25,23,23.9,23.8,99.3,1
26,23,24.2,26,23,24.2,23.6,96.1,1
25.8,23,23.7,25.8,23,23.7,23,95.7,1
28.8,23,23.9,32.9,23,24.1,23,94.7,1
29.2,22,25.3,34.6,22,26.6,23.3,89.2,0
27,24,25.4,31.2,24,26.3,24.5,94.7,1
31,24.8,27.3,36.6,24.8,29.9,24.5,85.7,0
32.6,24,28,37.9,24,31,24.1,80.6,0
32.4,21.2,27.5,39.2,21.2,29.9,23.4,79.8,1
32.6,23,27.2,36.6,23,29,22.7,78.3,1
32,23,26.9,34.9,23,28,22.2,78.1,1
32.6,22.6,26.9,36.6,22.6,28.5,22.2,77.5,0
32.1,23,27.1,36.8,23,29.3,22.9,79.1,1
32.3,23,27.4,36.8,23,28.9,22.6,77.5,0
32,22,27,34.9,22,27.9,21,72.6,0
33.9,21,26.5,35,21,27.1,20.5,73.2,1
33,21,26.8,34.6,21,27.6,20.8,73,0
32.4,22,27,34.9,22,28.4,22.2,77,0
32.1,22,26.8,36,22,27.8,21.6,75.9,1
31.7,23,26.6,35.5,23,27.5,21.3,75.4,1
31.6,22,26,34.7,22,27.1,21.5,78,0
30,23,26.1,33.3,23,27.3,22.5,81.7,1
29.2,21.5,25.6,34.6,21.5,26.9,23.5,88.6,0
29.3,21.6,24.8,30.6,21.6,25.1,20.4,78.2,0
30.1,18,23.4,30,18,23.4,17.4,72.9,0
29,16.6,22.9,29.6,16.6,23.1,18.4,77.9,0
30.1,18,23.5,29.6,18,23.7,17.9,73.3,1
28.2,20,23.3,30.6,20,23.8,20.6,85.2,1
28.6,18.6,23.1,29.8,18.6,23.4,19.2,80.5,0
29,18,23.5,29.9,18,23.7,18.3,74.5,0
28.8,19,23.4,29.8,19,23.7,19.5,80.2,1
28.1,19.5,24.1,31.3,19.5,24.8,21.5,85.9,0
29.2,20,23.4,32.8,20,24.1,21.1,87.8,1
37,27.6,32.2,43.2,30.9,36.7,22.7,58.5,0
38,27.9,32,42.3,30.3,37.4,23.5,62.6,0
38,29.1,32.2,44.7,33.3,38.6,24.2,64.3,1
40,29,32.7,43.9,33.7,38.8,23.9,62.8,0
37,29.3,32.3,42.1,34.2,37.5,23.2,60.3,0
37.1,27.9,32.5,42.6,32,37.2,22.8,58.1,0
39,29.3,32.7,41.9,32.3,37.3,22.4,56.5,1
39,29.4,32.9,43.2,31.9,37.5,22.3,55.4,1
39,28,32.5,43.6,33.7,37.9,23.4,60.9,0
37,27,30.8,41,30.6,36.1,24.1,69,1
36,29,31.7,43.2,32,35.9,22.6,59.4,0
37,28.7,31.5,41.9,33.2,37,23.9,65.1,0
37,27,31.5,44.4,29.6,37.3,24.2,66.8,0
36,27,30.4,43.5,29.6,35.9,24.1,69.9,1
38,26.6,30.3,43.4,26.6,35.2,23.9,70.4,0
37,23.9,29.6,43.3,23.9,33.7,24.8,77.8,0
34,25.7,30.4,42,25.7,37,25.5,76,0
37,27.5,31.3,44.5,32.1,38.2,25.2,71.2,0
35,27.8,30.4,41.9,31.3,36.4,24.8,72.9,1
37,25.8,30,44.5,25.8,35.6,24.9,75.1,1
35,26.9,30.6,40.6,30.5,36.2,24.5,71.3,1
29.1,27,28.3,35.7,30.6,33.5,25.4,84.3,1
34,26,29,40.6,26,33.1,23.9,75.3,0
36,26,30.4,43.2,26,35.5,24.4,71.7,0
34,25,29,42.2,25,34.2,25.8,83.9,1
33,24.3,28.7,40.6,24.3,32.5,24.5,79.1,0
35,28,30.8,43.3,31.3,36,23.8,66.7,1
34,26,30.5,40.6,26,35.5,24.1,69.6,0
35,27,30,43.3,30.1,35.9,24.9,75.2,0
34,27.3,30.2,40.6,31.1,36.2,24.8,73.9,1
37,28.8,31.5,44.5,33.5,38.1,24.7,68.9,1
35,28.5,31.1,42.4,32.9,38,25.1,71.8,1
36,27.5,31.1,43.2,32.2,37.5,24.8,70.9,1
37,27.1,31.2,44.5,31.2,36.8,24,67,1
35,26,30.4,41.9,26,35.3,23.8,68.4,1
35,25.8,30.3,43.3,25.8,34.9,23.7,69,0
35,27.8,31.2,41.9,30.9,36.3,23.5,64.1,1
37,28.7,31.9,44.7,32.3,37.1,23.5,61.7,1
37,27.3,31.3,46,30.1,35.8,23,62.3,0
37,26.6,30.8,46,26.6,35.2,23.2,64.8,1
39,26.8,31.5,44.6,29.7,36.6,23.5,64.3,1
38,25.7,31.7,45.8,25.7,37.1,23.8,64.4,1
37,25.7,30.2,46,25.7,36.3,25.4,77.1,0
36,26.1,30.3,44.7,26.1,36.5,25.5,77,1
37,25.2,30.3,46,25.2,36.2,25.5,77.1,0
31,24.6,27.7,39.1,24.6,31.9,25.6,89.1,1
31,26,28.3,37.7,26,32.8,25.1,83.6,0
36,27.9,30.4,46.3,31.9,37.4,25.5,75.9,1
35,27,30.1,46.7,31.2,37.9,26.4,81.2,1
35,27,30.5,44.9,31.8,37.7,25.8,76.7,1
33,25.9,29.8,42.1,25.9,35.5,24.9,75.6,0
36,27.3,30.6,44.7,30.7,36.6,24.8,72.3,1
35,27.8,31,43.5,31.9,37.4,24.8,70.8,0
35,28.3,31.4,43.3,32.2,37.5,24.5,67.9,1
36,28,31.5,44.7,32.2,38,24.7,68.2,1
36,24.5,30.4,43.2,24.5,35.6,24.5,72.3,1
37,26.8,31.2,46,30.2,38.4,25.7,74.6,0
37,23.4,30.3,44.7,23.4,35.9,24.9,74.5,0
33,27.8,30.4,43.8,32.7,37.4,25.5,76,0
33,26,29.5,39.1,26,34.7,24.9,77.2,0
34,27,29.9,41.2,31.3,35.9,25.1,76.2,1
34,25.8,29.2,42,25.8,34.1,25,79.2,0
35,26.5,29.8,43.3,26.5,35.3,25,76.8,0
34,27,30.2,38.3,29.6,34.3,23,66.3,0
37,28.3,30.9,41,31.4,34.7,22.4,61.8,0
36,28.4,31.3,40.8,31.5,35.6,22.9,62.5,0
35,28.4,30.7,40.6,31.7,35.1,23,64.4,0
36,28.3,30.7,43.3,32.7,36.2,24.2,69.6,0
33,25.9,29.1,39.2,25.9,33.9,24.6,77.4,0
34,24,28.3,40.5,24,31.7,24,78.9,0
34,25.9,28.9,41.1,25.9,32.7,23.9,75.4,0
34,25,29.1,40.9,25,32.8,23.7,73.7,1
35,26,29.5,41.9,26,34.5,24.5,75.4,1
34,26,30.1,43.4,26,35.1,24.1,71,0
33,25.9,28.9,39.3,25.9,33.3,24.8,79.4,0
31,26.7,28.9,39.1,26.7,34.3,25.3,81.4,1
30,23.8,26.7,36.8,23.8,29.8,25,90.5,0
32,26,28.4,39.2,26,33.4,25.6,85.3,0
33,26.8,29,43.7,29.6,34.8,25.6,82.4,0
30.7,26.7,27.9,38.2,30,32.9,25.7,88.2,0
33,26.9,29,42.1,31.2,35.2,25.9,84.1,0
32,26,28.6,40.6,26,33.9,25.6,84.1,1
32,24,28.1,40.6,24,32.4,24.7,82.1,0
32,26.5,29.2,40.6,26.5,34.5,25.1,79.4,1
33,26,29.3,39.3,26,33.7,24.4,76,1
33,26.9,29.5,39.3,30.2,34.7,24.6,76,0
32,26.5,29.1,37.9,26.5,33.6,24.5,77,1
34,26,29.5,40.6,26,34.3,24.6,75.8,0
34,27,29.9,42.1,30.6,36,25.3,77.3,0
34,27,29.9,42.1,30.6,35.7,25,76.1,0
34,27,29.9,40.6,30.6,35.7,24.9,75.1,0
33,26,29.5,39.3,26,34,24.2,73.7,0
33,27,29.9,39.9,30.6,35.5,24.9,75.5,1
35,27,30.1,40.6,30.6,35.7,24.7,74,0
34,27,29.9,40.6,30.6,35.4,24.7,74.5,0
32,27,29.8,39.7,30.6,35.2,24.7,74.9,0
32.1,27,29.2,38.9,30.6,34.6,24.8,77.7,0
33,26,29.7,40.6,26,35.1,24.8,75.6,1
33,27,30.2,40.6,30.6,36.2,24.9,73.9,0
34,27,30.2,42,30.6,36.2,24.9,74.3,0
33,26,29.2,40.6,26,34.7,25.6,81.9,0
30,24.7,27.1,37.4,24.7,30.4,25,88.3,1
28,24,25.8,32.7,24,26.8,24.9,94.9,1
31,24.7,27.7,37.7,24.7,31.3,25.1,86.4,0
31,25,27.4,37.7,25,30.7,25.3,88.9,1
30,25,27,36.2,25,29.8,25.5,91.5,0
28,25,26.1,32.7,25,27.4,25,93.7,1
27,24,25.5,30.6,24,26.1,24.4,93.5,1
32,25,28.2,37.9,25,31.9,24.6,81.7,0
30,25,27.3,36.2,25,30.6,24.7,86.2,1
30.1,26.7,28.2,37.4,29.9,33.2,25.1,83.3,0
31,24,27.6,39.1,24,31.3,25.1,86.4,0
32,26,28.8,40.6,26,33.4,25.1,81,0
31,25,28.1,38.8,25,32.6,25.4,85.8,0
28,24,25.9,33.6,24,27.2,25.1,95.2,0
30.1,25,27.3,35.9,25,30.4,24.7,86.3,0
27.7,25,26,33.7,25,27.4,25.4,96.2,1
28,25,25.9,34.6,25,27.2,25.2,95.9,1
30,25,27.2,37.3,25,30.6,25.7,91.8,0
29.4,25.8,27.6,37.6,25.8,32.6,26.2,92.3,1
30,26,28.4,39.9,26,34.6,26.3,88.9,0
30.1,25,28,39,25,33,26.1,89.5,1
30,28,29.3,38.8,34.6,37.3,26.9,86.9,1
29.3,26,28.4,37.9,26,34.7,26.6,90.3,1
31.6,27.5,29.1,41.3,31.6,36.2,26.3,84.9,0
29,26,27.4,35.6,26,31.5,26,92.3,1
31.3,27,29.1,41.7,29.7,36.7,26.6,86.4,0
32.3,26,29.1,43.3,26,35.6,26.4,85.8,1
30.1,27.3,28.7,37.9,31.9,35.5,26.4,87.1,1
31,27.9,29.2,40.6,33.5,36.1,26.2,83.9,0
31.3,28.5,29.7,41.1,34.4,37.1,26.1,81.2,1
30.3,27.9,29.1,38.8,33.6,35.9,26.1,84.2,0
31.8,28,29.6,40.6,33.2,36.4,25.8,80.4,1
32,28,29.8,40.6,32.7,36.6,25.7,79.2,1
32.5,27.9,30.1,40.6,33.2,37.1,25.7,77.3,0
31.7,26.9,29,40.1,30.4,35.5,26,84.1,0
32,26.9,29.3,41.2,30.8,36,26.1,83.2,1
33.3,26,29.6,43.8,26,35.9,26,81.6,0
31.3,27.7,29.4,41.1,32,36.4,26,82.1,0
29,26,26.9,36.9,26,29.7,25.8,93.6,0
30,26,27.8,37.8,26,32.5,25.8,89.3,0
30.9,26,28,39,26,32.6,25.8,88.2,1
29.7,25.7,27.8,37.8,25.7,32.6,25.6,87.7,0
30,27,28.8,37.7,30.4,34.9,25.8,83.7,0
29,26.3,28.1,35.6,26.3,33.3,25.7,86.7,0
28.7,24,26.9,34.6,24,30,25.3,91.4,0
29,26.7,28,35.6,29.9,33,25.4,86.2,0
30.9,27,28.5,38.4,30.6,34.1,25.6,84.5,0
28.7,25,26.9,34.6,25,29.8,25.2,90.3,0
28,25,26.5,33.6,25,28.7,25.2,92.8,0
28,24.9,27,34.6,24.9,30,25.8,93.4,0
29,26,28,35.6,26,33.2,25.9,88.5,0
29,25.7,27.9,35.8,25.7,33.1,25.8,88.1,0
29,27,28.1,35.6,30.6,33.5,25.8,87.3,0
29,27.9,28.2,35.6,32.7,33.9,25.8,87,0
29,27.8,28.1,35.6,32.8,33.6,25.8,87.3,0
29.3,28,28.4,36.2,32.5,33.9,25.5,83.9,0
30.3,27.3,28.6,37.5,30.9,34,25.3,82.6,0
30.7,27.3,28.6,39,31.3,34.4,25.6,83.5,0
30.3,27,28.3,37.9,30.6,33.9,25.7,85.6,1
29.7,27,28.3,36.9,30.6,33.8,25.6,85.7,1
30,26.7,28.2,37.4,29.9,33.5,25.5,85.2,0
30.4,26,28.3,37.6,26,33.3,25.3,84.3,1
30.7,26.8,28.6,37.9,30,33.7,25,80.8,1
30.7,26,28.6,37.3,26,33.5,24.9,80.6,1
30.3,27.1,28.7,37.3,30.7,33.9,25,80.3,0
31.1,27.2,29.1,37.2,30.6,34.1,24.4,76.2,0
31.1,26,28.9,38.1,26,34,24.8,79,0
31.5,26.3,29,37.4,26.3,33.9,24.6,77.6,0
31.3,26.2,29.1,38.2,26.2,34.1,24.7,77.5,1
31,27,28.7,36.6,30.1,33.4,24.4,77.5,1
30.3,26,28.1,36.1,26,32,24.2,79.6,1
31.3,25.8,28.5,37,25.8,32.2,24.2,78.4,0
31,27,28.7,36.9,30.1,33.2,24.1,76.3,1
31.3,26,28.7,37.6,26,33.3,24.7,79.4,1
32.4,26.8,29.1,40.1,30.1,35,25.5,81.4,0
30,26.5,28.2,37.8,26.5,33.3,25.6,86.4,0
29.3,26.9,28.1,35.9,30.3,33.2,25.5,86.4,0
28,25.5,26.9,33.6,25.5,29.8,24.9,88.8,0
31.3,26.8,28.4,38.9,30.1,33.6,25.4,84,1
28.7,25,26.5,35,25,28.5,25.3,93.4,0
26.7,24,25.8,29.9,24,26.2,24.9,94.8,1
28.7,26.1,27.1,35,26.1,30.8,25.8,92.7,0
29,26,27.2,35.9,26,30.5,25.5,90.8,0
29,25.7,26.9,35.2,25.7,29.5,25.4,91.9,0
28.6,25,26.6,34.5,25,29,25.6,94,0
28.4,25.6,27.2,34.3,25.6,31,25.6,91.2,0
31.3,26.2,27.9,39.7,26.2,32.5,25.5,87.2,0
29.3,25.8,27.2,36.2,25.8,30.1,25.1,88.8,1
29,26,27.4,35.6,26,31.4,25.5,89.4,0
29,24.4,27.3,35.9,24.4,31.2,25.4,89.8,1
30.2,26.5,28.4,38.4,26.5,34.1,26,87.2,0
29.4,24.7,26.5,34.1,24.7,28.5,24.5,88.7,0
29,26.9,27.9,35.6,30.4,32.9,25.7,87.9,0
29.1,26,27.6,35.7,26,31.5,25.6,88.7,1
30.4,24.8,27.4,38.8,24.8,31.1,25.8,91.4,1
30.7,25,27.3,37.6,25,30.2,25,87.9,1
29,25,26.9,35.6,25,29.7,25.3,91.1,1
31.5,26,28.4,38.3,26,32.2,24.3,78.9,0
32.4,26.6,28.6,39.2,26.6,32.9,24.3,78.2,0
32,26.3,28.9,39.6,26.3,33.9,25,80.1,0
31,27.2,29,39.1,31,34.6,25.3,81,0
30,24.3,27.5,37.4,24.3,32,25.7,90,1
32,26,28.1,40.5,26,32.3,25.2,84.8,0
30.9,24.5,27.3,37.5,24.5,30.2,24.4,84.4,1
30.6,25,27.8,36.9,25,31.1,24.4,82.1,0
31.1,26.5,28.6,38.1,26.5,33.2,24.7,80.2,1
30.7,26.4,28.2,37.7,26.4,32.8,25.2,84.2,0
31.3,27,29,38.1,30.5,34.3,24.9,78.8,0
31.5,26.5,28.9,37.7,26.5,33.6,24.6,78.5,1
31.3,26.2,29.1,39.9,26.2,34.5,25.1,79.4,0
32,27,29.1,40.6,29.9,34.6,25,79,0
32,26,28.6,40.6,26,32.3,23.9,75.9,0
33,25,29,39.1,25,32.8,23.7,73.9,1
33,26.4,30,42.1,26.4,36.1,25.1,75.3,0
33.3,25,29.9,42.5,25,35.9,25.1,75.9,1
32.5,25.5,28.3,39.6,25.5,31.2,23.6,76.4,1
33.7,25.4,29.1,40.2,25.4,33.3,24.2,75.4,0
33,24.9,29.4,38,24.9,33.1,23.3,70.6,0
34,26,29.2,41.2,26,33.4,24,74.5,0
35,25.5,29.9,40.8,25.5,34.1,23.5,69.5,1
35.3,27.3,31.2,42,31.2,36.6,24,66.9,0
36,26.7,31.7,39.4,27.8,34.2,20.3,52.1,1
35.3,27,31.3,39.5,27.9,33.4,19.6,50.8,0
35,26.7,31,39.3,27.8,34,20.9,55.7,0
31,26.2,28.6,35.7,26.2,31.4,22.1,68.2,0
27.3,24.8,26.1,30.3,24.8,26.8,23.4,84.9,0
27.4,24.6,25.7,30.7,24.6,26.3,23,85.4,1
32,24.6,27.9,36.8,24.6,30.5,23.3,77,0
31,24.9,27.5,37.3,24.9,30.2,24.1,82.5,0
29,24.8,26.6,33,24.8,28.7,24.2,86.7,0
31,25.4,27.6,36.5,25.4,30,24.2,82.7,0
30,24.9,27.6,34.4,24.9,29.8,23,76.7,1
29.8,25.6,27.8,33.6,25.6,30.2,22.8,74.9,0
32.3,24.4,28.5,35.9,24.4,31.2,23.3,75,0
32.7,26.4,29.3,36.3,26.4,32.5,22.6,68.5,0
33,26.3,29.8,40.5,26.3,34.5,23.9,71.1,0
35.1,26.8,30.6,42.9,29.1,35.1,23.3,65.9,1
34,26.3,30.2,38.1,26.3,33.1,21.5,60.4,0
